,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,AU,Quarter
0,2098000,1353340,936870,123940,530020,360,34650,11080,5088610,Q1_2018
1,2040910,1357580,935430,127300,561660,20,35120,14410,5072860,Q2_2018
2,2059470,1417340,1037680,132730,559120,0,39910,13800,5260660,Q3_2018
3,2248380,1507740,1030620,137040,578090,1560,40710,12500,5557430,Q4_2018
4,2091860,1408310,931200,127370,527530,500,34270,9760,5131120,Q1_2019
5,2093130,1461570,970010,138910,554810,50,43150,13560,5275500,Q2_2019
6,2076440,1460650,1057180,152920,569910,10,46180,13130,5376910,Q3_2019
7,2250200,1550810,1062600,151250,610700,1840,43190,12020,5683360,Q4_2019
8,1654330,1121530,758430,105580,453350,720,27470,6670,4128350,Q1_2020
9,78040,32250,16900,50,10860,0,890,20,139020,Q2_2020
10,87500,44420,20460,1680,12360,0,1210,30,167640,Q3_2020
11,76400,34510,17180,1820,10140,180,2160,20,142420,Q4_2020
12,53100,29420,14940,1540,8270,60,680,10,108030,Q1_2021
